,Name,Nationality,Nationality_codes,Gender,Gender_codes,Discipline,Discipline_codes,AP,RP,Card,Points,Remarks,Title Event,Event Type,Day,Year,month,experience_dive,experience_discipline
521,Andrey Zhdanov,RUS,77,M,1,CWT,1,67.0,67.0,WHITE,67.0,Ok,AIDA Russian Depth Championship 2020,Depth Competition,2020-09-04,2020,9,2,1
522,Andrey Zhdanov,RUS,77,M,1,CNF,0,20.0,20.0,WHITE,20.0,Ok,Cherekel Challenge AIDA,Depth Competition,2021-06-11,2021,6,3,1
523,Andrey Zhdanov,RUS,77,M,1,FIM,3,61.0,61.0,WHITE,61.0,Ok,Cherekel Challenge AIDA,Depth Competition,2021-06-12,2021,6,4,1
524,Andrey Zhdanov,RUS,77,M,1,CWTB,2,61.0,61.0,WHITE,61.0,Ok,Cherekel Challenge AIDA,Depth Competition,2021-06-13,2021,6,5,2
525,Andrey Zhdanov,RUS,77,M,1,CWT,1,65.0,65.0,WHITE,65.0,Ok,Cherekel Challenge AIDA,Depth Competition,2021-06-14,2021,6,6,2
526,Andrey Zhdanov,RUS,77,M,1,CWTB,2,67.0,67.0,WHITE,67.0,Ok,AIDA Russian Depth Championship 2021,Depth Competition,2021-07-18,2021,7,7,3
527,Andrey Zhdanov,RUS,77,M,1,FIM,3,70.0,70.0,WHITE,70.0,Ok,AIDA Russian Depth Championship 2021,Depth Competition,2021-07-19,2021,7,8,2
528,Andrey Zhdanov,RUS,77,M,1,CWT,1,75.0,75.0,WHITE,75.0,Ok,AIDA Russian Depth Championship 2021,Depth Competition,2021-07-20,2021,7,9,3
529,Andrey Zhdanov,RUS,77,M,1,CWTB,2,76.0,76.0,WHITE,76.0,Ok,Depth World Championship,Depth Competition,2021-09-23,2021,9,10,4
530,Andrey Zhdanov,RUS,77,M,1,FIM,3,85.0,71.0,YELLOW,56.0,"Rpap,no tag",Depth World Championship,Depth Competition,2021-09-25,2021,9,11,3
531,Andrey Zhdanov,RUS,77,M,1,CWT,1,83.0,83.0,RED,0.0,Dqbo-uw,Depth World Championship,Depth Competition,2021-09-29,2021,9,12,4
532,Andriy Khvetkevych,USA,91,M,1,CNF,0,69.0,61.0,YELLOW,52.0,"No tag,rp<ap",AIDA Depth World Championship 2019,World Championship,2019-09-09,2019,9,1,1
533,Andriy Khvetkevych,USA,91,M,1,FIM,3,95.0,95.0,WHITE,95.0,Ok,AIDA Depth World Championship 2019,World Championship,2019-09-11,2019,9,2,1
534,Andriy Khvetkevych,USA,91,M,1,CWT,1,102.0,87.0,YELLOW,71.0,"No tag,rp<ap",AIDA Depth World Championship 2019,World Championship,2019-09-13,2019,9,3,1
535,André Jordao,POR,73,M,1,CWTB,2,34.0,7.0,YELLOW,0.0,"No tag,rp<ap",AIDA Azores Freediving Open 2019,Depth Competition,2019-08-04,2019,8,1,1
536,Andy Cabrera Avila,CUB,22,M,1,FIM,3,45.0,45.0,RED,0.0,Dqsp,NICE ABYSS CONTEST 2019,Depth Competition,2019-06-22,2019,6,1,1
537,Andy Cabrera Avila,CUB,22,M,1,FIM,3,45.0,45.0,WHITE,45.0,Ok,NICE ABYSS CONTEST 2019,Depth Competition,2019-06-23,2019,6,2,2
538,Andy Cabrera Avila,CUB,22,M,1,FIM,3,51.0,51.0,WHITE,51.0,Ok,AIDA Depth World Championship 2019,World Championship,2019-09-11,2019,9,3,3
539,Andy Cabrera Avila,CUB,22,M,1,CWT,1,47.0,47.0,WHITE,47.0,Ok,AIDA Depth World Championship 2019,World Championship,2019-09-13,2019,9,4,1
540,Angelica Joy Cruz,PHL,71,F,0,CWT,1,41.0,12.0,YELLOW,0.0,"No tag,under ap",AIDA MABINI MINI DEPTH QUEST,Depth Competition,2024-08-17,2024,8,1,1
541,Angelica Joy Cruz,PHL,71,F,0,CWT,1,42.0,42.0,WHITE,42.0,Ok,AIDA Mabini Depth Quest: September Mini Competition - I,Depth Competition,2024-09-21,2024,9,2,2
542,Angeliki Loutsiou,CYP,23,F,0,FIM,3,35.0,35.0,WHITE,35.0,Ok,Depth World Championship,Depth Competition,2021-09-24,2021,9,1,1
543,Angeliki Loutsiou,CYP,23,F,0,FIM,3,40.0,40.0,WHITE,40.0,Ok,Depth World Championship,Depth Competition,2023-09-26,2023,9,2,2
544,Angeliki Loutsiou,CYP,23,F,0,CWT,1,40.0,40.0,WHITE,40.0,Ok,Depth World Championship,Depth Competition,2023-09-28,2023,9,3,1
